id,state,name,address_line1,address_line2,city,district,pin_code
32601,Madhya Pradesh,"Govt. College, Kalukheda",Amar shahid narendra shingh Chandrawat H.S School Kalukheda,Amar shahid narendra shingh Chandrawat H.S School Kalukheda,Kalukheda,Ratlam,457340
35242,Madhya Pradesh,"Vishnu Rajoriya College, Khirkiya, Harda",WARD NO. 06 SUBHASH WARD,COLLEGE ROAD,KHIRKIYA,Harda,461441
50196,Madhya Pradesh,"PUSHPDEEP GIRLS COLLEGE, KHATEGAON",NAYAPURA AJNAS ROAD KHATEGAON,NA,KHATEGAON,Dewas,455336
33419,Madhya Pradesh,"Govt. Degree College, Paraswada, Balaghat",AT-LINGA PARASWADA,GOVT.COLLEGE PARASWADA,PARASWADA,Balaghat,481556
19182,Madhya Pradesh,"Maharshi Vishwamitra Mahavidyalaya, Pandhurna, Chhindwara",SHIVSHAKTI MANGAL KARYALAYA SHANKAR NAGAR,NAGPUR ROAD,PANDHURNA,Chhindwara,480334
31715,Madhya Pradesh,"Govt. Girls College, Mandsaur",Mhow-Neemuch Road,Mandsaur,Mandsaur,Mandsaur,458001
34936,Madhya Pradesh,BHAGWAN JULELAL SCIENCE COLLEGE SAMADHIYA COLONY TARAGANG,"TARAGANJ, NEAR SAMADHIYA COLONY, LASHKAR, GWALIOR","TARAGANJ, NEAR SAMADHIYA COLONY, LASHKAR, GWALIOR",GWALIOR,Gwalior,474001
51579,Madhya Pradesh,"LSA College, Dhar",Behind Mittal Farm House Vill. Jetpura Dhar M.P.,NA,Dhar,Dhar,454001
6613,Madhya Pradesh,"Government Sanskrit College, Devendra Nagar, Panna",village & post Devendra nagar,distt. panna,Devendra Nagar,Panna,488333
34819,Madhya Pradesh,KUSUM BAI GANTS & GIRLS COLLEGE,sadar bazar bhind (M.P.),SADAR BAZAR BHIND,GWALIOR,Bhind,477001
48760,Madhya Pradesh,"HAJRA MEMORIAL COLLEGE MALHARGARH, KHALWA",GRAM-MALHARGARH,POST-KHALWA,TEH-KHALWA,Khandwa,450117
31814,Madhya Pradesh,"NISAD COLLEGE OF NARSING & ALLIED SCIENCE'S, SATNA",GRAM BACHBAI RAIGAON ROAD SATNA,OFFICE NISHAD BHAWAN PANNA ROAD PATERI SATNA,SATNA,Satna,485001
